,sign,freq,city,format,state
1452,K206AC,89.10000000000001,"San Diego, CA",Public Radio,CA
1453,K206AE,89.10000000000001,"Crescent City, CA",Classical,CA
1454,K206AF,89.10000000000001,"Beaver Marsh, Etc., OR",Classical,OR
1455,K206AI,89.10000000000001,"Coos Bay, Etc., OR",Classical,OR
1456,K206AJ,89.10000000000001,"Sinclair, WY",Public Radio,WY
1457,K206AM,89.10000000000001,"Washington, UT",Public Radio,UT
1458,K206AN,89.10000000000001,"Callahan, CA",Classical,CA
1459,K206AO,89.10000000000001,"Eagle River, AK",Religious,AK
1460,K206AZ,89.10000000000001,"Leadville, CO",Christian Contemporary,CO
1461,K206BA,89.10000000000001,"Red Lodge, MT",Public Radio,MT
1462,K206BD,89.10000000000001,"Julesburg, CO",Public Radio,CO
1463,K206BE,89.10000000000001,"Gunnison, CO",Classical,CO
1464,K206BN,89.10000000000001,"Ashland, MT",Public Radio,MT
1465,K206BQ,89.10000000000001,"Hollister, CA",Christian Contemporary,CA
1466,K206BT,89.10000000000001,"Fredonia, AZ",Religious,AZ
1467,K206BU,89.10000000000001,"Seibert, CO",Christian Contemporary,CO
1468,K206BV,89.10000000000001,"Watford City, ND",Religious,ND
1469,K206BW,89.10000000000001,"Adel, IA",Christian Contemporary,IA
1470,K206BX,89.10000000000001,"Walsenburg, CO",Christian Contemporary,CO
1471,K206BZ,89.10000000000001,"Manitou Springs, CO",Adult Album Alternative,CO
1472,K206CA,89.10000000000001,"Enid, OK",Religious,OK
1473,K206CD,89.10000000000001,"Gainesville, TX",Americana,TX
1474,K206CI,89.10000000000001,"Mooreland, OK",Christian Contemporary,OK
1475,K206CJ,89.10000000000001,"Issaquah, WA",Religious,WA
1476,K206CL,89.10000000000001,"Chinook, WA",Religious,WA
1477,K206CS,89.10000000000001,"El Paso, TX",Religious,TX
1478,K206CX,89.10000000000001,"Ammon, ID",Religious,ID
1479,K206CY,89.10000000000001,"Pocatello, ID",Religious,ID
1480,K206DF,89.10000000000001,"Talmage, CA",Religious,CA
1481,K206DH,89.10000000000001,"Winslow, AZ",Religious,AZ
1482,K206DI,89.10000000000001,"Mankato, MN",Christian Contemporary,MN
1483,K206DL,89.10000000000001,"Granite Falls/Everet, WA",Religious,WA
1484,K206DM,89.10000000000001,"Bremerton, WA",Religious,WA
1485,K206DU,89.10000000000001,"Lafayette, LA",Religious,LA
1486,K206DW,89.10000000000001,"Creston, IA",Religious,IA
1487,K206ED,89.10000000000001,"Le Mars, IA",Christian Contemporary,IA
1488,K206EF,89.10000000000001,"Montevideo, MN",Classical,MN
1489,K206EG,89.10000000000001,"Portales, NM",Religious,NM
1490,K206EH,89.10000000000001,"Sprague River, OR",Religious,OR
1491,K206EI,89.10000000000001,"Williston, ND",Gospel Music,ND
1492,K206EJ,89.10000000000001,"Kailua Kona, HI",Christian Contemporary,HI
1493,K206EL,89.10000000000001,"Williams, AZ",Classical,AZ
1494,K206EM,89.10000000000001,"Vail, CO",Classical,CO
1495,K206EO,89.10000000000001,"Granite, WY",Christian Contemporary,WY
1496,K206EQ,89.10000000000001,"Brookings, SD",Religious,SD
1497,K206ER,89.10000000000001,"Edna, TX",Spanish Christian,TX
1498,K206ET,89.10000000000001,"Grangeville, ID",Religious,ID
1499,K206EV,89.10000000000001,"Huntsville, TX",Religious,TX
1500,K209FH,89.10000000000001,"Salmon, ID",Religious,ID
1501,K212DQ,89.10000000000001,"Lakeview, OR",Christian Contemporary,OR
1502,KADV,89.10000000000001,"Garberville, CA",Religious,CA
1503,KAGP,89.10000000000001,"Greenwood, TX",Religious,TX
1504,KANO,89.10000000000001,"Hilo, HI",Public Radio,HI
1505,KANO,89.10000000000001,"Pahala, HI",Public Radio,HI
1506,KANO,89.10000000000001,"Ocean View Estates, HI",Public Radio,HI
1507,KANW,89.10000000000001,"Albuquerque, NM",Public Radio,NM
1508,KAUR,89.10000000000001,"Sioux Falls, SD",Public Radio,SD
1509,KAVY,89.10000000000001,"McCall, ID",Christian Contemporary,ID
1510,KAWS,89.10000000000001,"Marsing, ID",Religious,ID
1511,KBBF,89.10000000000001,"Calistoga, CA",Public Radio,CA
1512,KBHU,89.10000000000001,"Spearfish, SD",College,SD
1513,KBTD,89.10000000000001,"Freer, TX",Spanish Christian,TX
1514,KBWA,89.10000000000001,"Brush, CO",Christian Contemporary,CO
1515,KBXY,89.10000000000001,"Stanley, ID",Public Radio,ID
1516,KBYU,89.10000000000001,"Provo, UT",Classical,UT
1517,KCEA,89.10000000000001,"Atherton, CA",Nostalgia,CA
1518,KCFH,89.10000000000001,"Two Harbors, CA",Jazz,CA
1519,KCJH,89.10000000000001,"Livingston, CA",Religious,CA
1520,KCLC,89.10000000000001,"Saint Charles, MO",Adult Album Alternative,MO
1521,KCRU,89.10000000000001,"Oxnard, CA",Public Radio,CA
1522,KDAI,89.10000000000001,"Scottsbluff, NE",Christian Contemporary,NE
1523,KDCI,89.10000000000001,"Delhi, LA",Unknown Format,LA
1524,KDCY,89.10000000000001,"Eudora, AR",Unknown Format,AR
1525,KDND,89.10000000000001,"Dickinson, ND",Religious,ND
1526,KECC,89.10000000000001,"La Junta, CO",Public Radio,CO
1527,KEOS,89.10000000000001,"College Station, TX",Variety,TX
1528,KFAE,89.10000000000001,"Richland, WA",Public Radio,WA
1529,KGCY,89.10000000000001,"Cheyenne Wells, CO",Christian Contemporary,CO
1530,KGFN,89.10000000000001,"Goldfield, NV",Country,NV
1531,KGLZ,89.10000000000001,"East Helena, MT",Public Radio,MT
1532,KGOH,89.10000000000001,"Colby, KS",Religious,KS
1533,KHAP,89.10000000000001,"Chico, CA",Religious,CA
1534,KHJM,89.10000000000001,"Dexter, MO",Religious,MO
1535,KHNE,89.10000000000001,"Hastings, NE",Public Radio,NE
1536,KHOI,89.10000000000001,"Story City, IA",Variety,IA
1537,KHOL,89.10000000000001,"Jackson, WY",Public Radio,WY
1538,KHUI,89.10000000000001,"Alamosa, CO",Spanish,CO
1539,KJKL,89.10000000000001,"Jamestown, ND",Christian Contemporary,ND
1540,KJLW,89.10000000000001,"Winnebago, MN",Spanish Christian,MN
1541,KJRX,89.10000000000001,"Delhi, MN",Unknown Format,MN
1542,KJZX,89.10000000000001,"Austin, TX",Jazz,TX
1543,KKLB,89.10000000000001,"Bartlesville, OK",Christian Contemporary,OK
1544,KLBF,89.10000000000001,"Lincoln, ND",Religious,ND
1545,KLFR,89.10000000000001,"Reedsport, OR",Public Radio,OR
1546,KLPI,89.10000000000001,"Ruston, LA",Alternative,LA
1547,KLVK,89.10000000000001,"Fountain Hills, AZ",Christian Contemporary,AZ
1548,KLWC,89.10000000000001,"Casper, WY",Christian Contemporary,WY
1549,KMHD,89.10000000000001,"Gresham, OR",Jazz,OR
1550,KMJB,89.10000000000001,"Hudson, WY",Christian Contemporary,WY
1551,KMUW,89.10000000000001,"Wichita, KS",Public Radio,KS
1552,KNNZ,89.10000000000001,"Hawley, MN",Alternative,MN
1553,KNSZ,89.10000000000001,"Ottumwa, IA",Public Radio,IA
1554,KNWT,89.10000000000001,"Cody, WY",Adult Album Alternative,WY
1555,KODV,89.10000000000001,"Barstow, CA",Spanish Christian,CA
1556,KPGT,89.10000000000001,"Watertown, SD",Religious,SD
1557,KPRX,89.10000000000001,"Bakersfield, CA",Public Radio,CA
1558,KPVL,89.10000000000001,"Postville, IA",Variety,IA
1559,KQAI,89.10000000000001,"Roswell, NM",Christian Contemporary,NM
1560,KQDL,89.10000000000001,"Hines, OR",Religious,OR
1561,KQFZ,89.10000000000001,"Valley View, TX",Spanish Christian,TX
1562,KQOU,89.10000000000001,"Clinton, OK",Public Radio,OK
1563,KQXS,89.10000000000001,"Stephenville, TX",Religious,TX
1564,KRFF,89.10000000000001,"Fairbanks, AK",Native American,AK
1565,KRLR,89.10000000000001,"Sulphur, LA",Christian Contemporary,LA
1566,KSMF,89.10000000000001,"Ashland, OR",Public Radio,OR
1567,KSPP,89.10000000000001,"Rhinelander, WI",Religious,WI
1568,KSQX,89.10000000000001,"Springtown, TX",Religious,TX
1569,KSRP,89.10000000000001,"Dodge City, KS",Religious,KS
1570,KSTX,89.10000000000001,"San Antonio, TX",Public Radio,TX
1571,KTBP,89.10000000000001,"Poplar, MT",College,MT
1572,KTIM,89.10000000000001,"Ellinger, TX",Variety,TX
1573,KTLC,89.10000000000001,"Canon City, CO",Christian Contemporary,CO
1574,KTTZ,89.10000000000001,"Lubbock, TX",Public Radio,TX
1575,KUAR,89.10000000000001,"Little Rock, AR",Public Radio,AR
1576,KUAZ,89.10000000000001,"Tucson, AZ",Public Radio,AZ
1577,KUFM,89.10000000000001,"Missoula, MT",Public Radio,MT
1578,KUOR,89.10000000000001,"Redlands, CA",Public Radio,CA
1579,KURU,89.10000000000001,"Silver City, NM",Variety,NM
1580,KUYI,89.10000000000001,"Upper Moencopi, AZ",Native American,AZ
1581,KVCS,89.10000000000001,"Spring Valley, MN",Religious,MN
1582,KVDP,89.10000000000001,"Dry Prong, LA",Religious,LA
1583,KVMT,89.10000000000001,"Montrose, CO",Public Radio,CO
1584,KVNV,89.10000000000001,"Sun Valley, NV",Public Radio,NV
1585,KVRY,89.10000000000001,"Packwood, WA",Unknown Format,WA
1586,KVSE,89.10000000000001,"Blanchard, LA",Christian Contemporary,LA
1587,KWFC,89.10000000000001,"Springfield, MO",Gospel Music,MO
1588,KWSD,89.10000000000001,"Mitchell, SD",Unknown Format,SD
1589,KWTR,89.10000000000001,"Fraser, CO",Country,CO
1590,KXGM,89.10000000000001,"Hiawatha, IA",Christian Contemporary,IA
1591,KXLV,89.10000000000001,"Amarillo, TX",Christian Contemporary,TX
1592,KXTH,89.10000000000001,"Seminole, OK",Christian Contemporary,OK
1593,KYFP,89.10000000000001,"Palestine, TX",Religious,TX
1594,W206AF,89.10000000000001,"Mayaguez, PR",Spanish Christian,PR
1595,W206AH,89.10000000000001,"Eau Claire, WI",Christian Contemporary,WI
1596,W206AN,89.10000000000001,"Carlinville, IL",Religious,IL
1597,W206AR,89.10000000000001,"Florence, SC",Religious,SC
1598,W206AS,89.10000000000001,"Big Pine Key, FL",Public Radio,FL
1599,W206AT,89.10000000000001,"Savannah, GA",Religious,GA
1600,W206AW,89.10000000000001,"Pawling, NY",Christian Contemporary,NY
1601,W206AY,89.10000000000001,"Fruitland, MD",Religious,MD
1602,W206BB,89.10000000000001,"Madisonville, KY",Christian Contemporary,KY
1603,W206BE,89.10000000000001,"Johnson City, TN",Religious,TN
1604,W206BO,89.10000000000001,"Dickson, TN",Religious,TN
1605,W206BP,89.10000000000001,"Dublin, GA",Religious,GA
1606,W206BW,89.10000000000001,"Westville, CT",Public Radio,CT
1607,W206BX,89.10000000000001,"Fremont, OH",Christian Contemporary,OH
1608,W206BY,89.10000000000001,"Sumter, SC",Gospel Music,SC
1609,W206BZ,89.10000000000001,"Lockport, NY",Gospel Music,NY
1610,W206CE,89.10000000000001,"Dekalb, IL",Religious,IL
1611,W206CH,89.10000000000001,"Hinckley, OH",Christian Contemporary,OH
1612,W206CI,89.10000000000001,"West Schuyler, NY",Religious,NY
1613,W209AD,89.10000000000001,"Clyde, Etc., NC",Public Radio,NC
1614,W218CV,89.10000000000001,"Fredericksburg, VA",Religious,VA
1615,WAKP,89.10000000000001,"Smithboro, GA",Variety,GA
1616,WAUZ,89.10000000000001,"Greensburg, IN",Gospel Music,IN
1617,WBCX,89.10000000000001,"Gainesville, GA",College,GA
1618,WBIB,89.10000000000001,"Forsyth, GA",Christian Contemporary,GA
1619,WBOI,89.10000000000001,"Fort Wayne, IN",Public Radio,IN
1620,WBSD,89.10000000000001,"Burlington, WI",Grade School (K-12),WI
1621,WBSN,89.10000000000001,"New Orleans, LA",Christian Contemporary,LA
1622,WBSU,89.10000000000001,"Brockport, NY",Variety,NY
1623,WBUH,89.10000000000001,"Brewster, MA",Public Radio,MA
1624,WBYH,89.10000000000001,"Hawley, PA",Christian Contemporary,PA
1625,WCGI,89.10000000000001,"Clinton, NC",Gospel Music,NC
1626,WCJL,89.10000000000001,"Margaret, AL",Religious,AL
1627,WCNV,89.10000000000001,"Heathsville, VA",Public Radio,VA
1628,WCOV,89.10000000000001,"Friendship, NY",Christian Contemporary,NY
1629,WDFS,89.10000000000001,"Mainesburg, PA",Unknown Format,PA
1630,WDNX,89.10000000000001,"Olive Hill, TN",Religious,TN
1631,WDRZ,89.10000000000001,"Shelby, MI",Unknown Format,MI
1632,WDWN,89.10000000000001,"Auburn, NY",College,NY
1633,WECV,89.10000000000001,"Nashville, TN",Religious,TN
1634,WEMU,89.10000000000001,"Ypsilanti, MI",Public Radio,MI
1635,WEVO,89.10000000000001,"Concord, NH",Public Radio,NH
1636,WFDU,89.10000000000001,"Teaneck, NJ",College,NJ
1637,WFNM,89.10000000000001,"Lancaster, PA",College,PA
1638,WFSW,89.10000000000001,"Panama City, FL",Public Radio,FL
1639,WGLT,89.10000000000001,"Normal, IL",Public Radio,IL
1640,WGMS,89.10000000000001,"Hagerstown, MD",Classical,MD
1641,WGZS,89.10000000000001,"Cloquet, MN",Native American,MN
1642,WHAA,89.10000000000001,"Adams, WI",Classical,WI
1643,WHAB,89.10000000000001,"Acton, MA",Grade School (K-12),MA
1644,WHAR,89.10000000000001,"Cheriton, VA",Christian Contemporary,VA
1645,WHYU,89.10000000000001,"Meyersdale, PA",Talk,PA
1646,WIDR,89.10000000000001,"Kalamazoo, MI",College,MI
1647,WIMB,89.10000000000001,"Murphysboro, IL",Christian Contemporary,IL
1648,WJJE,89.10000000000001,"Delaware, OH",Religious,OH
1649,WJPZ,89.10000000000001,"Syracuse, NY",Top-40,NY
1650,WKCX,89.10000000000001,"Crittenden, KY",Religious,KY
1651,WKEK,89.10000000000001,"Gunflint Lake, MN",Public Radio,MN
1652,WKNG,89.10000000000001,"Heflin, AL",Gospel Music,AL
1653,WKSV,89.10000000000001,"Thompson, OH",Public Radio,OH
1654,WKYG,89.10000000000001,"Murray, KY",Religious,KY
1655,WLAZ,89.10000000000001,"Kissimmee, FL",Spanish Christian,FL
1656,WLBF,89.10000000000001,"Montgomery, AL",Religious,AL
1657,WLJK,89.10000000000001,"Aiken, SC",Public Radio,SC
1658,WLKB,89.10000000000001,"Bay City, MI",Christian Contemporary,MI
1659,WLPR,89.10000000000001,"Lowell, IN",Public Radio,IN
1660,WMBU,89.10000000000001,"Forest, MS",Religious,MS
1661,WMHT,89.10000000000001,"Schenectady, NY",Classical,NY
1662,WNIA,89.10000000000001,"Tarboro, NC",College,NC
1663,WNIE,89.10000000000001,"Freeport, IL",Public Radio,IL
1664,WNJQ,89.10000000000001,"Washington, NJ",Religious,NJ
1665,WNYU,89.10000000000001,"New York, NY",College,NY
1666,WNYU,89.10000000000001,"New York, NY",College,NY
1667,WNZN,89.10000000000001,"Lorain, OH",Gospel Music,OH
1668,WOCG,89.10000000000001,"Livingston, TN",Religious,TN
1669,WOCR,89.10000000000001,"Olivet, MI",College,MI
1670,WOFM,89.10000000000001,"Alcoa, TN",Christian Contemporary,TN
1671,WOKL,89.10000000000001,"Round Lake Beach, IL",Christian Contemporary,IL
1672,WONC,89.10000000000001,"Naperville, IL",Rock,IL
1673,WOUC,89.10000000000001,"Cambridge, OH",Public Radio,OH
1674,WOUL,89.10000000000001,"Ironton, OH",Public Radio,OH
1675,WPAS,89.10000000000001,"Pascagoula, MS",Religious,MS
1676,WPHS,89.10000000000001,"Warren, MI",Grade School (K-12),MI
1677,WPKT,89.10000000000001,"Norwich, CT",Public Radio,CT
1678,WRLP,89.10000000000001,"Orange, VA",Religious,VA
1679,WRPB,89.10000000000001,"Benedicta, ME",Gospel Music,ME
1680,WRSM,89.10000000000001,"Rising Sun, MD",Religious,MD
1681,WRXV,89.10000000000001,"State College, PA",Christian Contemporary,PA
1682,WRYN,89.10000000000001,"Hickory, NC",Religious,NC
1683,WSFX,89.10000000000001,"Nanticoke, PA",College,PA
1684,WSMR,89.10000000000001,"Sarasota, FL",Classical,FL
1685,WSPM,89.10000000000001,"Cloverdale, IN",Religious,IN
1686,WSSW,89.10000000000001,"Platteville, WI",Public Radio,WI
1687,WUFT,89.10000000000001,"Gainesville, FL",Public Radio,FL
1688,WUSO,89.10000000000001,"Springfield, OH",Classical,OH
1689,WVJC,89.10000000000001,"Mount Carmel, IL",College,IL
1690,WVTF,89.10000000000001,"Roanoke, VA",Public Radio,VA
1691,WWCJ,89.10000000000001,"Cape May, NJ",Classical,NJ
1692,WWFM,89.10000000000001,"Trenton, NJ",Classical,NJ
1693,WWIF,89.10000000000001,"Graham, GA",Religious,GA
1694,WXHL,89.10000000000001,"Christiana, DE",Gospel Music,DE
1695,WXLQ,89.10000000000001,"Bristol, VT",Public Radio,VT
1696,WXVU,89.10000000000001,"Villanova, PA",College,PA
1697,WYNS,89.10000000000001,"Waynesville, OH",Classic Rock,OH
1698,WYTC,89.10000000000001,"Hyde Park, VT",Grade School (K-12),VT
1699,WZMV,89.10000000000001,"Mohrsville, PA",Christian Contemporary,PA
1700,K207AH,89.30000000000001,"Laketown, Etc., UT",Public Radio,UT
1701,K207AN,89.30000000000001,"Blythe, CA",Religious,CA
1702,K207AS,89.30000000000001,"Pandora, CO",Public Radio,CO
1703,K207AU,89.30000000000001,"Ophir, CO",Public Radio,CO
1704,K207AY,89.30000000000001,"Saint Robert, MO",Christian Contemporary,MO
1705,K207AZ,89.30000000000001,"Gig Harbor, WA",Grade School (K-12),WA
1706,K207BI,89.30000000000001,"Lamar, CO",Christian Contemporary,CO
1707,K207BK,89.30000000000001,"Walsh, CO",Christian Contemporary,CO
1708,K207BQ,89.30000000000001,"Port Orford, OR",Public Radio,OR
1709,K207BU,89.30000000000001,"Yreka, CA",Public Radio,CA
1710,K207CE,89.30000000000001,"Cottonwood, CA",Christian Contemporary,CA
1711,K207CK,89.30000000000001,"Breckenridge, CO",Classical,CO
1712,K207CP,89.30000000000001,"South Lake Tahoe, NV",Religious,NV
1713,K207CQ,89.30000000000001,"Gallup, NM",Religious,NM
1714,K207CR,89.30000000000001,"Cedarville, CA",Religious,CA
1715,K207CT,89.30000000000001,"Lakehead, CA",Religious,CA
1716,K207CW,89.30000000000001,"Paris, AR",Religious,AR
1717,K207CY,89.30000000000001,"Round Mountain, NV",Public Radio,NV
1718,K207CZ,89.30000000000001,"Carlsbad, NM",Christian Contemporary,NM
1719,K207DG,89.30000000000001,"Rosati, MO",Religious,MO
1720,K207DJ,89.30000000000001,"Lake Isabella, CA",Religious,CA
1721,K207DL,89.30000000000001,"Twin Falls, ID",Religious,ID
1722,K207DQ,89.30000000000001,"Florence, OR",Religious,OR
1723,K207DS,89.30000000000001,"Wister, OK",Religious,OK
1724,K207DT,89.30000000000001,"Basalt, CO",Public Radio,CO
1725,K207DX,89.30000000000001,"Kingman, AZ",Classical,AZ
1726,K207EI,89.30000000000001,"Emporia, KS",Religious,KS
1727,K207EM,89.30000000000001,"Moab, UT",Christian Contemporary,UT
1728,K207EO,89.30000000000001,"Glenwood Springs, CO",Public Radio,CO
1729,K207EQ,89.30000000000001,"Ruidoso, NM",Public Radio,NM
1730,K207ER,89.30000000000001,"Burney, CA",Religious,CA
1731,K207EX,89.30000000000001,"Marshalltown, IA",Religious,IA
1732,K207EY,89.30000000000001,"Enterprise, Etc., OR",Public Radio,OR
1733,K207FA,89.30000000000001,"Twentynine Palms, CA",Public Radio,CA
1734,K207FF,89.30000000000001,"Big Spring, TX",Religious,TX
1735,K207FG,89.30000000000001,"Cannon Beach, OR",Public Radio,OR
1736,K207FH,89.30000000000001,"Capital Hill-Saipan, MP",Public Radio,MP
1737,K207FL,89.30000000000001,"Spanish Fork, UT",Classical,UT
1738,K207FN,89.30000000000001,"Oakridge, OR",Public Radio,OR
1739,K213FM,89.30000000000001,"Corvallis, OR",Religious,OR
1740,KAER,89.30000000000001,"Mesquite, NV",Christian Contemporary,NV
1741,KAER,89.30000000000001,"Las Vegas, NV",Christian Contemporary,NV
1742,KAKX,89.30000000000001,"Mendocino, CA",Grade School (K-12),CA
1743,KALU,89.30000000000001,"Langston, OK",Variety,OK
1744,KAOS,89.30000000000001,"Olympia, WA",Variety,WA
1745,KATB,89.30000000000001,"Anchorage, AK",Religious,AK
1746,KAVK,89.30000000000001,"Many, LA",Religious,LA
1747,KAYH,89.30000000000001,"Fayetteville, AR",Religious,AR
1748,KAZC,89.30000000000001,"Dickson, OK",Native American,OK
1749,KBCZ,89.30000000000001,"Boulder Creek, CA",Variety,CA
1750,KBHE,89.30000000000001,"Rapid City, SD",Public Radio,SD
1751,KBRZ,89.30000000000001,"Victoria, TX",Spanish Christian,TX
1752,KCAI,89.30000000000001,"Linden, CA",Christian Contemporary,CA
1753,KCCU,89.30000000000001,"Lawton, OK",Public Radio,OK
1754,KCMP,89.30000000000001,"Northfield, MN",Adult Album Alternative,MN
1755,KCRI,89.30000000000001,"Indio, CA",Public Radio,CA
1756,KCUR,89.30000000000001,"Kansas City, MO",Public Radio,MO
1757,KDNG,89.30000000000001,"Durango, CO",Public Radio,CO
1758,KDVM,89.30000000000001,"Mason City, IA",Unknown Format,IA
1759,KELP,89.30000000000001,"Mesquite, NM",Religious,NM
1760,KEYK,89.30000000000001,"Osage Beach, MO",Religious,MO
1761,KGLU,89.30000000000001,"Wishram, WA",Religious,WA
1762,KGNE,89.30000000000001,"Broken Bow, NE",Public Radio,NE
1763,KGRL,89.30000000000001,"Miller, SD",Christian Contemporary,SD
1764,KHBW,89.30000000000001,"Brownwood, TX",Religious,TX
1765,KHCP,89.30000000000001,"Paris, TX",Religious,TX
1766,KHEM,89.30000000000001,"Zapata, TX",Spanish,TX
1767,KHLC,89.30000000000001,"Hill City, KS",Religious,KS
1768,KHLW,89.30000000000001,"Tabor, IA",Religious,IA
1769,KIEL,89.30000000000001,"Loyal, OK",Religious,OK
1770,KIPO,89.30000000000001,"Honolulu, HI",Classical,HI
1771,KIPO,89.30000000000001,"Makaha, HI",Classical,HI
1772,KJCF,89.30000000000001,"Asotin, WA",Religious,WA
1773,KJMC,89.30000000000001,"Des Moines, IA",Urban Contemporary,IA
1774,KJPN,89.30000000000001,"Payson, AZ",Religious,AZ
1775,KJTF,89.30000000000001,"North Platte, NE",Gospel Music,NE
1776,KKLK,89.30000000000001,"Savoonga, AK",Religious,AK
1777,KKLT,89.30000000000001,"Texarkana, AR",Christian Contemporary,AR
1778,KKNL,89.30000000000001,"Valentine, NE",Religious,NE
1779,KLBV,89.30000000000001,"Steamboat Springs, CO",Christian Contemporary,CO
1780,KLBZ,89.30000000000001,"Bozeman, MT",Christian Contemporary,MT
1781,KLFF,89.30000000000001,"San Luis Obispo, CA",Religious,CA
1782,KLGG,89.30000000000001,"Kellogg, ID",Public Radio,ID
1783,KLKR,89.30000000000001,"Elko, NV",Public Radio,NV
1784,KLMT,89.30000000000001,"Billings, MT",Christian Contemporary,MT
1785,KLOV,89.30000000000001,"Winchester, OR",Christian Contemporary,OR
1786,KMTG,89.30000000000001,"San Jose, CA",Grade School (K-12),CA
1787,KMVS,89.30000000000001,"Moss Beach, CA",Christian Contemporary,CA
1788,KNAQ,89.30000000000001,"Prescott, AZ",Public Radio,AZ
1789,KNAR,89.30000000000001,"San Angelo, TX",Christian Contemporary,TX
1790,KNDZ,89.30000000000001,"McKinleyville, CA",Religious,CA
1791,KNON,89.30000000000001,"Dallas, TX",Variety,TX
1792,KNPH,89.30000000000001,"Havre, MT",Religious,MT
1793,KOGL,89.30000000000001,"Gleneden Beach, OR",Public Radio,OR
1794,KOHL,89.30000000000001,"Fremont, CA",Top-40,CA
1795,KOPJ,89.30000000000001,"Sebeka, MN",Religious,MN
1796,KOPL,89.30000000000001,"Omak, WA",Christian Contemporary,WA
1797,KPCC,89.30000000000001,"Pasadena, CA",Public Radio,CA
1798,KPCC,89.30000000000001,"Santa Clarita, CA",Public Radio,CA
1799,KPCC,89.30000000000001,"West Los Angeles, CA",Public Radio,CA
1800,KPCC,89.30000000000001,"West Los Angeles, CA",Public Radio,CA
1801,KPDO,89.30000000000001,"Pescadero, CA",Variety,CA
1802,KPFB,89.30000000000001,"Berkeley, CA",Public Radio,CA
1803,KPJP,89.30000000000001,"Greenville, CA",Religious,CA
1804,KPRG,89.30000000000001,"Agana, GU",Public Radio,GU
1805,KPSR,89.30000000000001,"Smith Center, KS",Christian Contemporary,KS
1806,KQEI,89.30000000000001,"North Highlands, CA",Public Radio,CA
1807,KQQN,89.30000000000001,"Nome, AK",Religious,AK
1808,KQQS,89.30000000000001,"Sitka, AK",Religious,AK
1809,KQWM,89.30000000000001,"Mena, AR",Unknown Format,AR
1810,KRKU,89.30000000000001,"Hillsdale, WY",Unknown Format,WY
1811,KRSF,89.30000000000001,"Ridgecrest, CA",Religious,CA
1812,KRSW,89.30000000000001,"Worthington, MN",Classical,MN
1813,KSBJ,89.30000000000001,"Humble, TX",Christian Contemporary,TX
1814,KSBJ,89.30000000000001,"Humble, TX",Christian Contemporary,TX
1815,KSBJ,89.30000000000001,"Humble, TX",Christian Contemporary,TX
1816,KSSO,89.30000000000001,"Norman, OK",Religious,OK
1817,KSVQ,89.30000000000001,"Gambell, AK",Religious,AK
1818,KTAW,89.30000000000001,"Walsenburg, CO",Christian Contemporary,CO
1819,KTBJ,89.30000000000001,"Festus, MO",Religious,MO
1820,KTDH,89.30000000000001,"Dalhart, TX",Public Radio,TX
1821,KTDX,89.30000000000001,"Laramie, WY",Christian Contemporary,WY
1822,KTFB,89.30000000000001,"Waco, TX",Unknown Format,TX
1823,KTHL,89.30000000000001,"Altus, OK",Christian Contemporary,OK
1824,KTPD,89.30000000000001,"Del Rio, TX",Public Radio,TX
1825,KUGS,89.30000000000001,"Bellingham, WA",College,WA
1826,KUND,89.30000000000001,"Grand Forks, ND",Public Radio,ND
1827,KUOI,89.30000000000001,"Moscow, ID",College,ID
1828,KUOU,89.30000000000001,"Roosevelt, UT",Public Radio,UT
1829,KUSL,89.30000000000001,"Richfield, UT",Public Radio,UT
1830,KUVO,89.30000000000001,"Denver, CO",Jazz,CO
1831,KVIX,89.30000000000001,"Port Angeles, WA",Public Radio,WA
1832,KVPR,89.30000000000001,"Fresno, CA",Public Radio,CA
1833,KVRA,89.30000000000001,"Sisters, OR",Christian Contemporary,OR
1834,KWCF,89.30000000000001,"Sheridan, WY",Religious,WY
1835,KXNE,89.30000000000001,"Norfolk, NE",Public Radio,NE
1836,KYAI,89.30000000000001,"McKee, KY",Christian Contemporary,KY
1837,KYPB,89.30000000000001,"Big Timber, MT",Public Radio,MT
1838,KYQX,89.30000000000001,"Mineral Wells, TX",Classic Country,TX
1839,KZAO,89.30000000000001,"Ajo, AZ",Variety,AZ
1840,KZUM,89.30000000000001,"Lincoln, NE",Variety,NE
1841,W207AA,89.30000000000001,"Williamsport, PA",Public Radio,PA
1842,W207AE,89.30000000000001,"Reading, PA",Religious,PA
1843,W207AG,89.30000000000001,"Freeland, Etc., PA",Religious,PA
1844,W207AO,89.30000000000001,"Paintsville-Van Lear, KY",Variety,KY
1845,W207AX,89.30000000000001,"Burlington, VT",Religious,VT
1846,W207BF,89.30000000000001,"Goshen, IN",Christian Contemporary,IN
1847,W207BM,89.30000000000001,"Lock Haven, PA",Religious,PA
1848,W207BQ,89.30000000000001,"Columbia, SC",Religious,SC
1849,W207BV,89.30000000000001,"Pikeville, KY",Variety,KY
1850,W207CB,89.30000000000001,"Raleigh, NC",Religious,NC
1851,W207CC,89.30000000000001,"New Philadelphia, OH",Religious,OH
1852,W207CG,89.30000000000001,"Bowling Green, KY",Religious,KY
1853,W207CH,89.30000000000001,"Blue Ridge, GA",Religious,GA
1854,W207CI,89.30000000000001,"Cleveland, TN",Christian Contemporary,TN
1855,W207CQ,89.30000000000001,"Jackson, TN",Religious,TN
